Time,Data
2023-09-26T14:46:00,613.0
2023-09-26T14:48:00,632.0
2023-09-26T14:50:00,640.2
2023-09-26T14:52:00,620.0
2023-09-26T14:54:00,589.0
2023-09-26T14:56:00,454.0
2023-09-26T14:58:00,386.3
2023-09-26T15:00:00,367.0
2023-09-26T15:02:00,355.2
2023-09-26T15:04:00,350.1
2023-09-26T15:06:00,348.0
2023-09-26T15:08:00,349.0
2023-09-26T15:10:00,357.0
2023-09-26T15:12:00,382.0
2023-09-26T15:14:00,402.0
2023-09-26T15:16:00,447.0
2023-09-26T15:18:00,436.0
2023-09-26T15:20:00,401.0
2023-09-26T15:22:00,386.1
2023-09-26T15:24:00,387.2
2023-09-26T15:26:00,364.4
2023-09-26T15:28:00,336.0
2023-09-26T15:30:00,334.0
2023-09-26T15:32:00,355.0
2023-09-26T15:34:00,369.2
2023-09-26T15:36:00,347.0
2023-09-26T15:38:00,361.0
2023-09-26T15:40:00,344.0
2023-09-26T15:42:00,330.0
2023-09-26T15:44:00,317.3
2023-09-26T15:46:00,315.0
2023-09-26T15:48:00,315.0
2023-09-26T15:50:00,314.0
2023-09-26T15:52:00,324.0
2023-09-26T15:54:00,330.3
2023-09-26T15:56:00,343.0
2023-09-26T15:58:00,362.0
2023-09-26T16:00:00,361.0
2023-09-26T16:02:00,399.1
2023-09-26T16:04:00,499.0
2023-09-26T16:06:00,477.1
2023-09-26T16:08:00,381.2
2023-09-26T16:10:00,345.0
2023-09-26T16:12:00,342.0
2023-09-26T16:14:00,335.0
2023-09-26T16:16:00,280.1
2023-09-26T16:18:00,255.4
2023-09-26T16:20:00,257.1
2023-09-26T16:22:00,264.0
2023-09-26T16:24:00,261.0
2023-09-26T16:26:00,270.0
2023-09-26T16:28:00,297.2
2023-09-26T16:30:00,310.0
2023-09-26T16:32:00,293.0
2023-09-26T16:34:00,339.2
2023-09-26T16:36:00,407.4
2023-09-26T16:38:00,424.0
2023-09-26T16:40:00,428.4
2023-09-26T16:42:00,378.0
2023-09-26T16:44:00,387.0
2023-09-26T16:46:00,370.0
2023-09-26T16:48:00,289.0
2023-09-26T16:50:00,304.4
