Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
19/04/2023  13:16:25,550.0,170.1,171.4,29.3,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.2,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,560,
19/04/2023  13:16:30,550.0,170.9,169.9,29.4,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.3,0.0,60.04,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,569,
19/04/2023  13:16:35,550.0,170.4,170.8,29.4,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.1,0.0,60.04,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,577,
19/04/2023  13:16:40,550.0,169.1,170.2,29.3,28.1,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.2,0.0,60.04,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,585,
19/04/2023  13:16:45,550.0,170.1,169.0,29.3,28.2,24.0,30.1,34.8,7.8,0.0,0.0,0.0,0,246.6,0.0,60.05,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,594,
19/04/2023  13:16:50,550.0,169.8,169.5,29.5,28.2,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.3,0.0,60.05,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.1,0.8,7,0,245.93,230.41,24.7,0.0,1,602,
19/04/2023  13:16:55,550.0,169.8,168.6,29.5,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.4,0.0,60.04,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.1,0.8,7,0,245.93,230.41,24.7,0.0,1,611,
19/04/2023  13:17:00,550.0,168.0,169.9,29.3,28.2,24.0,30.1,34.8,7.9,0.0,0.0,0.0,0,246.1,0.0,60.05,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.1,0.8,7,0,245.93,230.41,24.7,0.0,1,619,
19/04/2023  13:17:05,550.0,168.1,169.5,29.1,28.2,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,246.0,0.0,60.04,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.1,0.8,7,0,245.93,230.41,24.7,0.0,1,627,
19/04/2023  13:17:10,550.0,168.6,169.1,29.3,28.5,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.4,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.1,0.8,7,0,245.93,230.41,24.7,0.0,1,636,
