Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
2023-09-27T14:14:20,360.1,32.6,32.6,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,243.0,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,59,
2023-09-27T14:14:21,375.7,31.9,32.1,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,243.0,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,60,
2023-09-27T14:14:22,375.7,31.9,32.1,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,243.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,62,
2023-09-27T14:14:23,375.7,32.2,32.6,34.2,33.9,24.0,31.1,32.3,0.0,0.0,0.0,0.0,0,242.2,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,64,
2023-09-27T14:14:24,375.7,32.2,32.1,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.2,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,66,
2023-09-27T14:14:25,375.7,32.2,32.1,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,243.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,67,
2023-09-27T14:14:27,392.2,31.9,33.2,34.2,34.0,24.0,31.1,32.3,0.0,0.0,0.0,0.0,0,243.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,69,
2023-09-27T14:14:28,392.2,31.9,33.2,34.2,34.0,24.0,31.1,32.3,0.2,0.0,0.0,0.0,0,243.0,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,71,
2023-09-27T14:14:29,392.2,33.5,33.8,34.2,33.9,24.0,31.0,32.2,0.2,0.0,0.0,0.0,0,242.1,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,73,
2023-09-27T14:14:30,392.2,32.1,33.4,34.2,33.9,24.0,31.0,32.2,0.2,0.0,0.0,0.0,0,242.1,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,75,
2023-09-27T14:14:31,392.2,32.1,33.4,34.2,33.9,24.0,31.0,32.2,0.2,0.0,0.0,0.0,0,242.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,76,
2023-09-27T14:14:32,392.2,32.5,32.5,34.2,33.9,24.0,31.0,32.3,0.2,0.0,0.0,0.0,0,242.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,78,
2023-09-27T14:14:33,392.2,32.5,32.5,34.2,33.9,24.0,31.0,32.3,4.4,0.0,0.0,0.0,0,243.1,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,80,
2023-09-27T14:14:34,407.9,33.4,32.8,34.3,33.9,24.0,31.0,32.3,4.4,0.0,0.0,0.0,0,243.1,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,81,
2023-09-27T14:14:35,407.9,33.4,32.8,34.3,33.9,24.0,31.0,32.3,4.4,0.0,0.0,0.0,0,243.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,83,
2023-09-27T14:14:36,407.9,32.5,33.6,34.3,34.0,24.0,31.0,32.3,4.4,0.0,0.0,0.0,0,242.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,85,
2023-09-27T14:14:37,407.9,32.5,33.6,34.3,34.0,24.0,31.0,32.3,6.4,0.0,0.0,0.0,0,242.0,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,603,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,86,
